TIME,grid_id,latitude,longitude,avg_temperature,avg_salinity,argo_float_ids
2021-01-01,-1.0_75.0,-1.0,75.0,28.187000274658203,35.05563735961914,[np.int64(2901861)]
2021-01-01,-1.0_81.0,-1.0,81.0,28.795751571655273,35.09858322143555,[np.int64(2902215)]
2021-01-01,-11.0_83.0,-11.0,83.0,28.51460838317871,34.31557083129883,[np.int64(5905009)]
2021-01-01,-15.0_69.0,-15.0,69.0,28.12641716003418,34.44669723510742,[np.int64(1901802)]
2021-01-01,-3.0_83.0,-3.0,83.0,28.52827262878418,34.699581146240234,[np.int64(2902287)]
2021-01-01,11.0_63.0,11.0,63.0,26.5718994140625,35.938865661621094,[np.int64(2902388)]
2021-01-01,11.0_69.0,11.0,69.0,28.34441375732422,36.22482681274414,[np.int64(2902393)]
2021-01-01,13.0_65.0,13.0,65.0,27.011844635009766,36.19034194946289,[np.int64(2902259)]
2021-01-01,13.0_67.0,13.0,67.0,27.625417709350586,36.28132247924805,[np.int64(2902118)]
2021-01-01,15.0_87.0,15.0,87.0,27.37208366394043,33.147335052490234,[np.int64(2902283)]
2021-01-01,19.0_69.0,19.0,69.0,25.726327896118164,35.72336959838867,[np.int64(2902277)]
2021-01-10,-1.0_77.0,-1.0,77.0,28.788101196289062,35.15449905395508,[np.int64(2902850)]
2021-01-10,-1.0_79.0,-1.0,79.0,28.869583129882812,35.02149963378906,[np.int64(2902182)]
2021-01-10,-11.0_63.0,-11.0,63.0,27.76628875732422,34.744178771972656,[np.int64(6902951)]
2021-01-10,-11.0_69.0,-11.0,69.0,28.484521865844727,34.09648895263672,[np.int64(5904836)]
2021-01-10,-3.0_85.0,-3.0,85.0,28.43573760986328,34.73305130004883,[np.int64(2901862)]
2021-01-10,-5.0_89.0,-5.0,89.0,28.29484748840332,34.13868713378906,[np.int64(2902288)]
2021-01-10,-7.0_77.0,-7.0,77.0,27.839231491088867,33.96792221069336,[np.int64(2902289)]
2021-01-10,1.0_67.0,1.0,67.0,27.738800048828125,35.40766525268555,[np.int64(2901849)]
