grid_id,TIME,depth,latitude,longitude,avg_temperature,avg_salinity
-1.0_59.0,4/1/2021,10,-1,59,29.94524924,34.99599838
-1.0_59.0,4/1/2021,100,-1,59,21.98407689,35.21900119
-1.0_59.0,4/1/2021,200,-1,59,15.67523088,35.19838334
-1.0_59.0,4/1/2021,500,-1,59,9.771999805,34.96440048
-1.0_59.0,4/1/2021,1000,-1,59,7.155882432,35.01582248
-1.0_59.0,4/1/2021,2000,-1,59,,
-1.0_59.0,5/1/2021,10,-1,59,30.67733298,35.07099915
-1.0_59.0,5/1/2021,100,-1,59,23.19250018,35.41221461
-1.0_59.0,5/1/2021,200,-1,59,15.60760061,35.18400043
-1.0_59.0,5/1/2021,500,-1,59,9.921100003,34.97444877
-1.0_59.0,5/1/2021,1000,-1,59,7.176545721,35.00145376
-1.0_59.0,5/1/2021,2000,-1,59,,
-1.0_59.0,11/10/2021,10,-1,59,29.00998024,35.61899101
-1.0_59.0,11/10/2021,100,-1,59,22.74339929,35.36070229
-1.0_59.0,11/10/2021,200,-1,59,14.27169979,35.19588996
-1.0_59.0,11/10/2021,500,-1,59,9.6570196,35.0240699
-1.0_59.0,11/10/2021,1000,-1,59,6.89685944,35.00912846
-1.0_59.0,11/10/2021,2000,-1,59,,
-1.0_61.0,1/18/2021,10,-1,61,27.58427469,35.29000092
-1.0_61.0,1/18/2021,100,-1,61,21.55081485,35.26532942
-1.0_61.0,1/18/2021,200,-1,61,15.07416532,35.19394527
-1.0_61.0,1/18/2021,500,-1,61,9.785650162,34.98721957
-1.0_61.0,1/18/2021,1000,-1,61,6.48449513,34.95700073
-1.0_61.0,1/18/2021,2000,-1,61,,
-1.0_61.0,7/10/2021,10,-1,61,29.24799919,34.98500061
-1.0_61.0,7/10/2021,100,-1,61,20.55020024,35.27899932
-1.0_61.0,7/10/2021,200,-1,61,14.23499966,35.13600159
-1.0_61.0,7/10/2021,500,-1,61,10.03423801,34.9843819
-1.0_61.0,7/10/2021,1000,-1,61,7.249176522,34.99329398
-1.0_61.0,7/10/2021,2000,-1,61,,
-1.0_61.0,8/1/2021,10,-1,61,28.62533496,35.2333768
-1.0_61.0,8/1/2021,100,-1,61,23.53135395,35.35958089
-1.0_61.0,8/1/2021,200,-1,61,13.86214143,35.15242797
-1.0_61.0,8/1/2021,500,-1,61,10.02223869,34.98826197
-1.0_61.0,8/1/2021,1000,-1,61,7.092476481,34.98525211
-1.0_61.0,8/1/2021,2000,-1,61,,
-1.0_61.0,10/18/2021,10,-1,61,28.95500056,35.51966731
-1.0_61.0,10/18/2021,100,-1,61,20.68881883,35.31345402
-1.0_61.0,10/18/2021,200,-1,61,13.67999999,35.14866511
-1.0_61.0,10/18/2021,500,-1,61,9.651200124,34.99245171
-1.0_61.0,10/18/2021,1000,-1,61,6.879562856,34.98193599
-1.0_61.0,10/18/2021,2000,-1,61,,
-1.0_61.0,12/10/2021,10,-1,61,28.4279995,35.35495167
-1.0_61.0,12/10/2021,100,-1,61,21.47719925,35.29818546
-1.0_61.0,12/10/2021,200,-1,61,13.64188998,35.15863698
-1.0_61.0,12/10/2021,500,-1,61,9.7772203,34.99642467
-1.0_61.0,12/10/2021,1000,-1,61,6.91899014,34.99789985
-1.0_61.0,12/10/2021,2000,-1,61,,
-1.0_63.0,1/28/2021,10,-1,63,28.49699974,35.30500031
-1.0_63.0,1/28/2021,100,-1,63,22.36096968,35.23899841
-1.0_63.0,1/28/2021,200,-1,63,15.32198456,35.17617875
-1.0_63.0,1/28/2021,500,-1,63,9.491540157,34.94690865
-1.0_63.0,1/28/2021,1000,-1,63,6.631999969,34.9679985
-1.0_63.0,1/28/2021,2000,-1,63,2.771134858,34.7820015
-1.0_63.0,9/18/2021,10,-1,63,29.50460014,35.22999954
-1.0_63.0,9/18/2021,100,-1,63,22.20100021,35.31700134
-1.0_63.0,9/18/2021,200,-1,63,14.70999972,35.19733429
-1.0_63.0,9/18/2021,500,-1,63,9.510881938,34.9877638
-1.0_63.0,9/18/2021,1000,-1,63,7.082833372,34.99016667
-1.0_63.0,9/18/2021,2000,-1,63,,
-1.0_63.0,9/28/2021,10,-1,63,29.31576963,35.35300064
-1.0_63.0,9/28/2021,100,-1,63,24.6861532,35.41246118
-1.0_63.0,9/28/2021,200,-1,63,15.22735716,35.21507155
-1.0_63.0,9/28/2021,500,-1,63,9.795842112,34.98347413
-1.0_63.0,9/28/2021,1000,-1,63,6.962799905,34.98834878
-1.0_63.0,9/28/2021,2000,-1,63,,
-1.0_63.0,10/28/2021,10,-1,63,29.02222188,35.64300156
-1.0_63.0,10/28/2021,100,-1,63,20.08849991,35.31383323
-1.0_63.0,10/28/2021,200,-1,63,13.48533303,35.14899826
-1.0_63.0,10/28/2021,500,-1,63,9.769500048,34.98781725
-1.0_63.0,10/28/2021,1000,-1,63,7.048000018,34.98566691
-1.0_63.0,10/28/2021,2000,-1,63,,
-1.0_65.0,4/18/2021,10,-1,65,30.00260077,35.10100174
-1.0_65.0,4/18/2021,100,-1,65,23.86380056,35.22130014
-1.0_65.0,4/18/2021,200,-1,65,15.58220004,35.15509892
-1.0_65.0,4/18/2021,500,-1,65,10.13404985,35.01800156
-1.0_65.0,4/18/2021,1000,-1,65,6.958300112,34.97205008
-1.0_65.0,4/18/2021,2000,-1,65,,
-1.0_65.0,4/28/2021,10,-1,65,30.58649917,35.0264003
-1.0_65.0,4/28/2021,100,-1,65,20.91652104,35.21017922
-1.0_65.0,4/28/2021,200,-1,65,15.7002603,35.19011878
-1.0_65.0,4/28/2021,500,-1,65,9.923000336,35.01294052
-1.0_65.0,4/28/2021,1000,-1,65,6.906880078,34.97088074
-1.0_65.0,4/28/2021,2000,-1,65,,
-1.0_65.0,5/18/2021,10,-1,65,29.63993942,35.16400146
-1.0_65.0,5/18/2021,100,-1,65,22.11906028,35.33746083
-1.0_65.0,5/18/2021,200,-1,65,14.53773983,35.16123939
-1.0_65.0,5/18/2021,500,-1,65,9.830539891,35.00500107
-1.0_65.0,5/18/2021,1000,-1,65,6.915659944,34.96111869
-1.0_65.0,5/18/2021,2000,-1,65,2.674260041,34.77299881
-1.0_65.0,5/28/2021,10,-1,65,29.46207993,35.36899948
-1.0_65.0,5/28/2021,100,-1,65,24.63109229,35.35932454
-1.0_65.0,5/28/2021,200,-1,65,14.03176016,35.14300156
-1.0_65.0,5/28/2021,500,-1,65,9.890240286,34.97804061
-1.0_65.0,5/28/2021,1000,-1,65,6.937809684,34.96588536
-1.0_65.0,5/28/2021,2000,-1,65,,
-1.0_67.0,1/28/2021,10,-1,67,28.61804003,35.24266121
-1.0_67.0,1/28/2021,100,-1,67,22.19612918,35.26108862
-1.0_67.0,1/28/2021,200,-1,67,13.93517032,35.15192787
-1.0_67.0,1/28/2021,500,-1,67,9.966009617,35.00232958
-1.0_67.0,1/28/2021,1000,-1,67,6.489009855,34.94325939
-1.0_67.0,1/28/2021,2000,-1,67,2.860004901,34.78213064
-1.0_67.0,2/18/2021,10,-1,67,28.87047083,35.0971765
